scenario,total_cost,cost_savings_vs_baseline,mean_contamination,contamination_reduction_vs_baseline,mean_expected_fill
combined_strategy,30478512.166347608,12145624.708636887,0.6083575315005483,0.33482991210277746,15.975214954111662
add_bins_high_traffic,35181808.124279976,7442328.750704519,0.8300049503709269,0.11318249323239882,18.794370534249015
increase_pickup_high_risk,36994891.177598014,5629245.697386481,0.8677324481150599,0.07545499548826584,19.96901869263958
paired_bins_strategy,42494972.543808766,129164.33117572963,0.8324954005691427,0.11069204303418301,23.492963167811272
improved_signage,42510168.34747649,113968.5275080055,0.8455179938672818,0.09766944973604397,23.492963167811272
budget_optimized,42588360.470177256,35776.40480723977,0.9428653233993156,0.0003221202040101234,23.470283117688133
baseline,42624136.874984495,0.0,0.9431874436033257,0.0,23.492963167811272
